firm_name,year,successful_investments,out_of_business,corporate_venture_firm,monetary_size_deals_year_usdmn,early_stage_investor,first_investment_year,venture_firm_industry,venture_firm_location
.406 Ventures,2007,0,0,0,59.5,1,2007,Software,USnonCA
.406 Ventures,2008,0,0,0,81.5,1,2007,Software,USnonCA
.406 Ventures,2009,0,0,0,39.799999,1,2007,Software,USnonCA
.406 Ventures,2010,3,0,0,31.75,1,2007,Software,USnonCA
.406 Ventures,2011,0,0,0,77,1,2007,Software,USnonCA
.406 Ventures,2012,1,0,0,122.8,1,2007,Software,USnonCA
.406 Ventures,2013,0,0,0,48.799999,1,2007,Software,USnonCA
.406 Ventures,2014,4,0,0,69.379997,1,2007,Software,USnonCA
1&12 Ventures,2011,0,1,0,.46000001,0,2011,Other Tech,USnonCA
1-800-Flowers.com,2003,0,0,0,1.2,1,2003,Other,California
1-800-Flowers.com,2005,0,0,0,3.25,1,2003,Other,California
1-800-Flowers.com,2012,0,0,0,2,1,2003,Other,California
101 Startups,2004,0,0,0,5.4000001,1,2004,Software,California
101 Startups,2013,0,0,0,.76999998,1,2004,Software,California
10X Venture Partners,2013,0,0,0,1.38,1,2012,Internet,USnonCA
10ipt10 ApS,2008,0,0,0,10.25,0,2008,Other Tech,Other
10ipt10 ApS,2011,0,1,0,6,0,2008,Other Tech,Other
11i Solutions,2011,0,1,0,,0,2011,Other,USnonCA
123Venture,2003,0,0,0,11.11,0,2003,Other Tech,Europe
123Venture,2005,0,0,0,40.57,0,2003,Other Tech,Europe
123Venture,2006,0,0,0,57.469997,0,2003,Other Tech,Europe
123Venture,2007,0,0,0,28.299999,0,2003,Other Tech,Europe
123Venture,2008,0,0,0,8.0299997,0,2003,Other Tech,Europe
123Venture,2009,0,0,0,16.83,0,2003,Other Tech,Europe
123Venture,2010,0,0,0,19.02,0,2003,Other Tech,Europe
123Venture,2011,0,0,0,15.06,0,2003,Other Tech,Europe
123Venture,2012,0,0,0,8.9800005,0,2003,Other Tech,Europe
123Venture,2013,0,0,0,36.950001,0,2003,Other Tech,Europe
123Venture,2014,0,0,0,7.5300002,0,2003,Other Tech,Europe
186K Ventures,2012,0,0,0,1.25,1,2012,Software,USnonCA
1A Private Equity,2009,0,1,0,,0,2009,Other Tech,Europe
1C Company,2010,0,0,0,7,1,2010,Software,Europe
1C Company,2012,2,0,0,,1,2010,Software,Europe
1C Company,2013,0,0,0,6,1,2010,Software,Europe
1st Holdings,2011,0,1,0,1.33,1,2011,Software,Asia
1st Source Bank,2014,0,0,0,1.3,0,2014,Software,USnonCA
1st Source Capital,2008,0,1,0,2.5,0,2008,Other,Other
1stdibs,2012,0,0,0,,0,2012,Internet,Europe
1to1 Venture Partners,2000,0,0,1,4,0,2000,Other Tech,USnonCA
1to1 Venture Partners,2001,0,0,1,20,0,2000,Other Tech,USnonCA
1to1 Venture Partners,2002,0,0,1,2.5,0,2000,Other Tech,USnonCA
1to1 Venture Partners,2003,0,0,1,8,0,2000,Other Tech,USnonCA
1to1 Venture Partners,2006,1,0,1,,0,2000,Other Tech,USnonCA
1to1 Venture Partners,2007,0,1,1,,0,2000,Other Tech,USnonCA
20/20 HealthCare Partners,2009,0,0,0,12.3,0,2008,Medical,Other
20/20 HealthCare Partners,2010,0,0,0,3.8,0,2008,Medical,Other
20/20 HealthCare Partners,2012,0,0,0,,0,2008,Medical,Other
2020 Ventures,2010,0,0,0,.75,1,2010,Internet,California
2020 Ventures,2011,0,0,0,.40000001,1,2010,Internet,California
2020 Ventures,2013,0,0,0,1.3,1,2010,Internet,California
2080 Media,2008,0,1,0,,0,2008,Other Tech,USnonCA
20K Industries,2013,0,0,0,.80000001,1,2013,Software,USnonCA
212 Capital Partners,2013,0,0,0,9,1,2012,Internet,USnonCA
212 Ventures,2001,0,1,0,8,1,2001,Other Tech,USnonCA
21Ventures,2006,0,0,0,11.75,1,2005,Other Tech,California
21Ventures,2007,0,0,0,15.59,1,2005,Other Tech,California
21Ventures,2008,0,0,0,45.099998,1,2005,Other Tech,California
21Ventures,2009,0,0,0,14,1,2005,Other Tech,California
21Ventures,2010,0,1,0,.5,1,2005,Other Tech,California
21ViaNet,2012,0,0,0,,1,2012,Internet,USnonCA
21ViaNet,2014,0,0,0,3,1,2012,Internet,USnonCA
21st Century Group,2000,0,0,0,1.21,1,2000,Medical,USnonCA
21st Century Group,2007,0,1,0,4.4000001,1,2000,Medical,USnonCA
21st Century Internet Venture Partners,1999,0,1,0,10,0,1999,Software,USnonCA
23andMe,2012,0,0,0,,0,2012,Medical,California
24/7,2013,1,0,0,,0,2013,Internet,California
24Haymarket,2013,0,0,0,4.73,1,2013,Medical,Europe
24Haymarket,2014,0,0,0,3.8199999,1,2013,Medical,Europe
2B Angels,2011,0,0,0,11.8,1,2011,Software,Other
2B Angels,2012,0,0,0,1.5,1,2011,Software,Other
2B Angels,2013,0,0,0,5.8000002,1,2011,Software,Other
2B Angels,2014,0,0,0,18.93,1,2011,Software,Other
2M Companies,2003,0,0,0,14,0,2003,Other Tech,California
2M Companies,2004,0,0,0,18,0,2003,Other Tech,California
2M Companies,2005,0,0,0,4.5,0,2003,Other Tech,California
2M Companies,2006,0,0,0,36,0,2003,Other Tech,California
2M Companies,2011,0,1,0,1,0,2003,Other Tech,California
2Wire,2007,0,1,0,,0,2007,Software,California
2x CPGP Management Company,2011,0,1,0,2.5,0,2010,Other,USnonCA
3 Wise Ventures,2010,0,1,0,1.1,1,2010,Internet,California
32 Degrees Capital,2014,0,0,0,23.879999,0,2014,Other,Other
33Across,2012,0,0,0,,0,2012,Internet,California
350 Capital,2013,0,0,0,3.3,0,2013,Other Tech,Other
350 Investment Partners,2011,0,1,0,18.040001,0,2011,Other Tech,Europe
365 Retail Markets,2013,0,0,0,1.2,1,2013,Software,USnonCA
37 Angels,2014,0,0,0,1.1,1,2014,Internet,USnonCA
37 Technology Ventures,2012,0,0,0,2.2,1,2012,Other Tech,California
37 Technology Ventures,2013,0,0,0,,1,2012,Other Tech,California
37 Ventures Inc,2013,0,0,0,1.45,1,2013,Other Tech,California
37signals,2010,0,1,0,,0,2010,Other Tech,USnonCA
